,category,data_source,freq,tickers,cut,fields,vendor_tickers
50,fx-implied-vol,bloomberg,daily,EURUSD25B6M,NYC,close,EURUSD25B6M CMPN Curncy
51,fx-implied-vol,bloomberg,daily,EURUSD25B9M,NYC,close,EURUSD25B9M CMPN Curncy
52,fx-implied-vol,bloomberg,daily,EURUSD25B1Y,NYC,close,EURUSD25B1Y CMPN Curncy
53,fx-implied-vol,bloomberg,daily,EURUSD25B2Y,NYC,close,EURUSD25B2Y CMPN Curncy
54,fx-implied-vol,bloomberg,daily,EURUSD25B3Y,NYC,close,EURUSD25B3Y CMPN Curncy
55,fx-implied-vol,bloomberg,daily,EURUSD25B5Y,NYC,close,EURUSD25B5Y CMPN Curncy
56,fx-implied-vol,bloomberg,daily,EURUSD10BON,NYC,close,EURUSD10BON CMPN Curncy
57,fx-implied-vol,bloomberg,daily,EURUSD10B1W,NYC,close,EURUSD10B1W CMPN Curncy
58,fx-implied-vol,bloomberg,daily,EURUSD10B2W,NYC,close,EURUSD10B2W CMPN Curncy
59,fx-implied-vol,bloomberg,daily,EURUSD10B3W,NYC,close,EURUSD10B3W CMPN Curncy
60,fx-implied-vol,bloomberg,daily,EURUSD10B1M,NYC,close,EURUSD10B1M CMPN Curncy
61,fx-implied-vol,bloomberg,daily,EURUSD10B2M,NYC,close,EURUSD10B2M CMPN Curncy
62,fx-implied-vol,bloomberg,daily,EURUSD10B3M,NYC,close,EURUSD10B3M CMPN Curncy
63,fx-implied-vol,bloomberg,daily,EURUSD10B4M,NYC,close,EURUSD10B4M CMPN Curncy
64,fx-implied-vol,bloomberg,daily,EURUSD10B6M,NYC,close,EURUSD10B6M CMPN Curncy
65,fx-implied-vol,bloomberg,daily,EURUSD10B9M,NYC,close,EURUSD10B9M CMPN Curncy
66,fx-implied-vol,bloomberg,daily,EURUSD10B1Y,NYC,close,EURUSD10B1Y CMPN Curncy
67,fx-implied-vol,bloomberg,daily,EURUSD10B2Y,NYC,close,EURUSD10B2Y CMPN Curncy
68,fx-implied-vol,bloomberg,daily,EURUSD10B3Y,NYC,close,EURUSD10B3Y CMPN Curncy
69,fx-implied-vol,bloomberg,daily,EURUSD10B5Y,NYC,close,EURUSD10B5Y CMPN Curncy
70,fx-implied-vol,bloomberg,daily,GBPUSDVON,NYC,close,GBPUSDVON CMPN Curncy
71,fx-implied-vol,bloomberg,daily,GBPUSDV1W,NYC,close,GBPUSDV1W CMPN Curncy
72,fx-implied-vol,bloomberg,daily,GBPUSDV2W,NYC,close,GBPUSDV2W CMPN Curncy
73,fx-implied-vol,bloomberg,daily,GBPUSDV3W,NYC,close,GBPUSDV3W CMPN Curncy
74,fx-implied-vol,bloomberg,daily,GBPUSDV1M,NYC,close,GBPUSDV1M CMPN Curncy
75,fx-implied-vol,bloomberg,daily,GBPUSDV2M,NYC,close,GBPUSDV2M CMPN Curncy
76,fx-implied-vol,bloomberg,daily,GBPUSDV3M,NYC,close,GBPUSDV3M CMPN Curncy
77,fx-implied-vol,bloomberg,daily,GBPUSDV4M,NYC,close,GBPUSDV4M CMPN Curncy
78,fx-implied-vol,bloomberg,daily,GBPUSDV6M,NYC,close,GBPUSDV6M CMPN Curncy
79,fx-implied-vol,bloomberg,daily,GBPUSDV9M,NYC,close,GBPUSDV9M CMPN Curncy
80,fx-implied-vol,bloomberg,daily,GBPUSDV1Y,NYC,close,GBPUSDV1Y CMPN Curncy
81,fx-implied-vol,bloomberg,daily,GBPUSDV2Y,NYC,close,GBPUSDV2Y CMPN Curncy
82,fx-implied-vol,bloomberg,daily,GBPUSDV3Y,NYC,close,GBPUSDV3Y CMPN Curncy
83,fx-implied-vol,bloomberg,daily,GBPUSDV5Y,NYC,close,GBPUSDV5Y CMPN Curncy
84,fx-implied-vol,bloomberg,daily,GBPUSD25RON,NYC,close,GBPUSD25RON CMPN Curncy
85,fx-implied-vol,bloomberg,daily,GBPUSD25R1W,NYC,close,GBPUSD25R1W CMPN Curncy
86,fx-implied-vol,bloomberg,daily,GBPUSD25R2W,NYC,close,GBPUSD25R2W CMPN Curncy
87,fx-implied-vol,bloomberg,daily,GBPUSD25R3W,NYC,close,GBPUSD25R3W CMPN Curncy
88,fx-implied-vol,bloomberg,daily,GBPUSD25R1M,NYC,close,GBPUSD25R1M CMPN Curncy
89,fx-implied-vol,bloomberg,daily,GBPUSD25R2M,NYC,close,GBPUSD25R2M CMPN Curncy
90,fx-implied-vol,bloomberg,daily,GBPUSD25R3M,NYC,close,GBPUSD25R3M CMPN Curncy
91,fx-implied-vol,bloomberg,daily,GBPUSD25R4M,NYC,close,GBPUSD25R4M CMPN Curncy
92,fx-implied-vol,bloomberg,daily,GBPUSD25R6M,NYC,close,GBPUSD25R6M CMPN Curncy
93,fx-implied-vol,bloomberg,daily,GBPUSD25R9M,NYC,close,GBPUSD25R9M CMPN Curncy
94,fx-implied-vol,bloomberg,daily,GBPUSD25R1Y,NYC,close,GBPUSD25R1Y CMPN Curncy
95,fx-implied-vol,bloomberg,daily,GBPUSD25R2Y,NYC,close,GBPUSD25R2Y CMPN Curncy
96,fx-implied-vol,bloomberg,daily,GBPUSD25R3Y,NYC,close,GBPUSD25R3Y CMPN Curncy
97,fx-implied-vol,bloomberg,daily,GBPUSD25R5Y,NYC,close,GBPUSD25R5Y CMPN Curncy
98,fx-implied-vol,bloomberg,daily,GBPUSD10RON,NYC,close,GBPUSD10RON CMPN Curncy
99,fx-implied-vol,bloomberg,daily,GBPUSD10R1W,NYC,close,GBPUSD10R1W CMPN Curncy
100,fx-implied-vol,bloomberg,daily,GBPUSD10R2W,NYC,close,GBPUSD10R2W CMPN Curncy
101,fx-implied-vol,bloomberg,daily,GBPUSD10R3W,NYC,close,GBPUSD10R3W CMPN Curncy
102,fx-implied-vol,bloomberg,daily,GBPUSD10R1M,NYC,close,GBPUSD10R1M CMPN Curncy
103,fx-implied-vol,bloomberg,daily,GBPUSD10R2M,NYC,close,GBPUSD10R2M CMPN Curncy
104,fx-implied-vol,bloomberg,daily,GBPUSD10R3M,NYC,close,GBPUSD10R3M CMPN Curncy
105,fx-implied-vol,bloomberg,daily,GBPUSD10R4M,NYC,close,GBPUSD10R4M CMPN Curncy
106,fx-implied-vol,bloomberg,daily,GBPUSD10R6M,NYC,close,GBPUSD10R6M CMPN Curncy
107,fx-implied-vol,bloomberg,daily,GBPUSD10R9M,NYC,close,GBPUSD10R9M CMPN Curncy
108,fx-implied-vol,bloomberg,daily,GBPUSD10R1Y,NYC,close,GBPUSD10R1Y CMPN Curncy
109,fx-implied-vol,bloomberg,daily,GBPUSD10R2Y,NYC,close,GBPUSD10R2Y CMPN Curncy
110,fx-implied-vol,bloomberg,daily,GBPUSD10R3Y,NYC,close,GBPUSD10R3Y CMPN Curncy
111,fx-implied-vol,bloomberg,daily,GBPUSD10R5Y,NYC,close,GBPUSD10R5Y CMPN Curncy
112,fx-implied-vol,bloomberg,daily,GBPUSD25BON,NYC,close,GBPUSD25BON CMPN Curncy
113,fx-implied-vol,bloomberg,daily,GBPUSD25B1W,NYC,close,GBPUSD25B1W CMPN Curncy
114,fx-implied-vol,bloomberg,daily,GBPUSD25B2W,NYC,close,GBPUSD25B2W CMPN Curncy
115,fx-implied-vol,bloomberg,daily,GBPUSD25B3W,NYC,close,GBPUSD25B3W CMPN Curncy
116,fx-implied-vol,bloomberg,daily,GBPUSD25B1M,NYC,close,GBPUSD25B1M CMPN Curncy
117,fx-implied-vol,bloomberg,daily,GBPUSD25B2M,NYC,close,GBPUSD25B2M CMPN Curncy
118,fx-implied-vol,bloomberg,daily,GBPUSD25B3M,NYC,close,GBPUSD25B3M CMPN Curncy
119,fx-implied-vol,bloomberg,daily,GBPUSD25B4M,NYC,close,GBPUSD25B4M CMPN Curncy
120,fx-implied-vol,bloomberg,daily,GBPUSD25B6M,NYC,close,GBPUSD25B6M CMPN Curncy
121,fx-implied-vol,bloomberg,daily,GBPUSD25B9M,NYC,close,GBPUSD25B9M CMPN Curncy
122,fx-implied-vol,bloomberg,daily,GBPUSD25B1Y,NYC,close,GBPUSD25B1Y CMPN Curncy
123,fx-implied-vol,bloomberg,daily,GBPUSD25B2Y,NYC,close,GBPUSD25B2Y CMPN Curncy
124,fx-implied-vol,bloomberg,daily,GBPUSD25B3Y,NYC,close,GBPUSD25B3Y CMPN Curncy
125,fx-implied-vol,bloomberg,daily,GBPUSD25B5Y,NYC,close,GBPUSD25B5Y CMPN Curncy
126,fx-implied-vol,bloomberg,daily,GBPUSD10BON,NYC,close,GBPUSD10BON CMPN Curncy
127,fx-implied-vol,bloomberg,daily,GBPUSD10B1W,NYC,close,GBPUSD10B1W CMPN Curncy
128,fx-implied-vol,bloomberg,daily,GBPUSD10B2W,NYC,close,GBPUSD10B2W CMPN Curncy
129,fx-implied-vol,bloomberg,daily,GBPUSD10B3W,NYC,close,GBPUSD10B3W CMPN Curncy
130,fx-implied-vol,bloomberg,daily,GBPUSD10B1M,NYC,close,GBPUSD10B1M CMPN Curncy
131,fx-implied-vol,bloomberg,daily,GBPUSD10B2M,NYC,close,GBPUSD10B2M CMPN Curncy
132,fx-implied-vol,bloomberg,daily,GBPUSD10B3M,NYC,close,GBPUSD10B3M CMPN Curncy
133,fx-implied-vol,bloomberg,daily,GBPUSD10B4M,NYC,close,GBPUSD10B4M CMPN Curncy
134,fx-implied-vol,bloomberg,daily,GBPUSD10B6M,NYC,close,GBPUSD10B6M CMPN Curncy
135,fx-implied-vol,bloomberg,daily,GBPUSD10B9M,NYC,close,GBPUSD10B9M CMPN Curncy
136,fx-implied-vol,bloomberg,daily,GBPUSD10B1Y,NYC,close,GBPUSD10B1Y CMPN Curncy
137,fx-implied-vol,bloomberg,daily,GBPUSD10B2Y,NYC,close,GBPUSD10B2Y CMPN Curncy
138,fx-implied-vol,bloomberg,daily,GBPUSD10B3Y,NYC,close,GBPUSD10B3Y CMPN Curncy
139,fx-implied-vol,bloomberg,daily,GBPUSD10B5Y,NYC,close,GBPUSD10B5Y CMPN Curncy
140,fx-implied-vol,bloomberg,daily,AUDUSDVON,NYC,close,AUDUSDVON CMPN Curncy
141,fx-implied-vol,bloomberg,daily,AUDUSDV1W,NYC,close,AUDUSDV1W CMPN Curncy
142,fx-implied-vol,bloomberg,daily,AUDUSDV2W,NYC,close,AUDUSDV2W CMPN Curncy
143,fx-implied-vol,bloomberg,daily,AUDUSDV3W,NYC,close,AUDUSDV3W CMPN Curncy
144,fx-implied-vol,bloomberg,daily,AUDUSDV1M,NYC,close,AUDUSDV1M CMPN Curncy
145,fx-implied-vol,bloomberg,daily,AUDUSDV2M,NYC,close,AUDUSDV2M CMPN Curncy
146,fx-implied-vol,bloomberg,daily,AUDUSDV3M,NYC,close,AUDUSDV3M CMPN Curncy
147,fx-implied-vol,bloomberg,daily,AUDUSDV4M,NYC,close,AUDUSDV4M CMPN Curncy
148,fx-implied-vol,bloomberg,daily,AUDUSDV6M,NYC,close,AUDUSDV6M CMPN Curncy
149,fx-implied-vol,bloomberg,daily,AUDUSDV9M,NYC,close,AUDUSDV9M CMPN Curncy
150,fx-implied-vol,bloomberg,daily,AUDUSDV1Y,NYC,close,AUDUSDV1Y CMPN Curncy
151,fx-implied-vol,bloomberg,daily,AUDUSDV2Y,NYC,close,AUDUSDV2Y CMPN Curncy
152,fx-implied-vol,bloomberg,daily,AUDUSDV3Y,NYC,close,AUDUSDV3Y CMPN Curncy
153,fx-implied-vol,bloomberg,daily,AUDUSDV5Y,NYC,close,AUDUSDV5Y CMPN Curncy
154,fx-implied-vol,bloomberg,daily,AUDUSD25RON,NYC,close,AUDUSD25RON CMPN Curncy
155,fx-implied-vol,bloomberg,daily,AUDUSD25R1W,NYC,close,AUDUSD25R1W CMPN Curncy
156,fx-implied-vol,bloomberg,daily,AUDUSD25R2W,NYC,close,AUDUSD25R2W CMPN Curncy
157,fx-implied-vol,bloomberg,daily,AUDUSD25R3W,NYC,close,AUDUSD25R3W CMPN Curncy
158,fx-implied-vol,bloomberg,daily,AUDUSD25R1M,NYC,close,AUDUSD25R1M CMPN Curncy
159,fx-implied-vol,bloomberg,daily,AUDUSD25R2M,NYC,close,AUDUSD25R2M CMPN Curncy
160,fx-implied-vol,bloomberg,daily,AUDUSD25R3M,NYC,close,AUDUSD25R3M CMPN Curncy
161,fx-implied-vol,bloomberg,daily,AUDUSD25R4M,NYC,close,AUDUSD25R4M CMPN Curncy
162,fx-implied-vol,bloomberg,daily,AUDUSD25R6M,NYC,close,AUDUSD25R6M CMPN Curncy
163,fx-implied-vol,bloomberg,daily,AUDUSD25R9M,NYC,close,AUDUSD25R9M CMPN Curncy
164,fx-implied-vol,bloomberg,daily,AUDUSD25R1Y,NYC,close,AUDUSD25R1Y CMPN Curncy
165,fx-implied-vol,bloomberg,daily,AUDUSD25R2Y,NYC,close,AUDUSD25R2Y CMPN Curncy
166,fx-implied-vol,bloomberg,daily,AUDUSD25R3Y,NYC,close,AUDUSD25R3Y CMPN Curncy
167,fx-implied-vol,bloomberg,daily,AUDUSD25R5Y,NYC,close,AUDUSD25R5Y CMPN Curncy
168,fx-implied-vol,bloomberg,daily,AUDUSD10RON,NYC,close,AUDUSD10RON CMPN Curncy
169,fx-implied-vol,bloomberg,daily,AUDUSD10R1W,NYC,close,AUDUSD10R1W CMPN Curncy
170,fx-implied-vol,bloomberg,daily,AUDUSD10R2W,NYC,close,AUDUSD10R2W CMPN Curncy
171,fx-implied-vol,bloomberg,daily,AUDUSD10R3W,NYC,close,AUDUSD10R3W CMPN Curncy
172,fx-implied-vol,bloomberg,daily,AUDUSD10R1M,NYC,close,AUDUSD10R1M CMPN Curncy
173,fx-implied-vol,bloomberg,daily,AUDUSD10R2M,NYC,close,AUDUSD10R2M CMPN Curncy
174,fx-implied-vol,bloomberg,daily,AUDUSD10R3M,NYC,close,AUDUSD10R3M CMPN Curncy
175,fx-implied-vol,bloomberg,daily,AUDUSD10R4M,NYC,close,AUDUSD10R4M CMPN Curncy
176,fx-implied-vol,bloomberg,daily,AUDUSD10R6M,NYC,close,AUDUSD10R6M CMPN Curncy
177,fx-implied-vol,bloomberg,daily,AUDUSD10R9M,NYC,close,AUDUSD10R9M CMPN Curncy
178,fx-implied-vol,bloomberg,daily,AUDUSD10R1Y,NYC,close,AUDUSD10R1Y CMPN Curncy
179,fx-implied-vol,bloomberg,daily,AUDUSD10R2Y,NYC,close,AUDUSD10R2Y CMPN Curncy
180,fx-implied-vol,bloomberg,daily,AUDUSD10R3Y,NYC,close,AUDUSD10R3Y CMPN Curncy
181,fx-implied-vol,bloomberg,daily,AUDUSD10R5Y,NYC,close,AUDUSD10R5Y CMPN Curncy
182,fx-implied-vol,bloomberg,daily,AUDUSD25BON,NYC,close,AUDUSD25BON CMPN Curncy
183,fx-implied-vol,bloomberg,daily,AUDUSD25B1W,NYC,close,AUDUSD25B1W CMPN Curncy
184,fx-implied-vol,bloomberg,daily,AUDUSD25B2W,NYC,close,AUDUSD25B2W CMPN Curncy
185,fx-implied-vol,bloomberg,daily,AUDUSD25B3W,NYC,close,AUDUSD25B3W CMPN Curncy
186,fx-implied-vol,bloomberg,daily,AUDUSD25B1M,NYC,close,AUDUSD25B1M CMPN Curncy
187,fx-implied-vol,bloomberg,daily,AUDUSD25B2M,NYC,close,AUDUSD25B2M CMPN Curncy
188,fx-implied-vol,bloomberg,daily,AUDUSD25B3M,NYC,close,AUDUSD25B3M CMPN Curncy
189,fx-implied-vol,bloomberg,daily,AUDUSD25B4M,NYC,close,AUDUSD25B4M CMPN Curncy
190,fx-implied-vol,bloomberg,daily,AUDUSD25B6M,NYC,close,AUDUSD25B6M CMPN Curncy
191,fx-implied-vol,bloomberg,daily,AUDUSD25B9M,NYC,close,AUDUSD25B9M CMPN Curncy
192,fx-implied-vol,bloomberg,daily,AUDUSD25B1Y,NYC,close,AUDUSD25B1Y CMPN Curncy
193,fx-implied-vol,bloomberg,daily,AUDUSD25B2Y,NYC,close,AUDUSD25B2Y CMPN Curncy
194,fx-implied-vol,bloomberg,daily,AUDUSD25B3Y,NYC,close,AUDUSD25B3Y CMPN Curncy
195,fx-implied-vol,bloomberg,daily,AUDUSD25B5Y,NYC,close,AUDUSD25B5Y CMPN Curncy
196,fx-implied-vol,bloomberg,daily,AUDUSD10BON,NYC,close,AUDUSD10BON CMPN Curncy
197,fx-implied-vol,bloomberg,daily,AUDUSD10B1W,NYC,close,AUDUSD10B1W CMPN Curncy
198,fx-implied-vol,bloomberg,daily,AUDUSD10B2W,NYC,close,AUDUSD10B2W CMPN Curncy
199,fx-implied-vol,bloomberg,daily,AUDUSD10B3W,NYC,close,AUDUSD10B3W CMPN Curncy
200,fx-implied-vol,bloomberg,daily,AUDUSD10B1M,NYC,close,AUDUSD10B1M CMPN Curncy
201,fx-implied-vol,bloomberg,daily,AUDUSD10B2M,NYC,close,AUDUSD10B2M CMPN Curncy
202,fx-implied-vol,bloomberg,daily,AUDUSD10B3M,NYC,close,AUDUSD10B3M CMPN Curncy
203,fx-implied-vol,bloomberg,daily,AUDUSD10B4M,NYC,close,AUDUSD10B4M CMPN Curncy
204,fx-implied-vol,bloomberg,daily,AUDUSD10B6M,NYC,close,AUDUSD10B6M CMPN Curncy
205,fx-implied-vol,bloomberg,daily,AUDUSD10B9M,NYC,close,AUDUSD10B9M CMPN Curncy
206,fx-implied-vol,bloomberg,daily,AUDUSD10B1Y,NYC,close,AUDUSD10B1Y CMPN Curncy
207,fx-implied-vol,bloomberg,daily,AUDUSD10B2Y,NYC,close,AUDUSD10B2Y CMPN Curncy
208,fx-implied-vol,bloomberg,daily,AUDUSD10B3Y,NYC,close,AUDUSD10B3Y CMPN Curncy
209,fx-implied-vol,bloomberg,daily,AUDUSD10B5Y,NYC,close,AUDUSD10B5Y CMPN Curncy
210,fx-implied-vol,bloomberg,daily,NZDUSDVON,NYC,close,NZDUSDVON CMPN Curncy
211,fx-implied-vol,bloomberg,daily,NZDUSDV1W,NYC,close,NZDUSDV1W CMPN Curncy
212,fx-implied-vol,bloomberg,daily,NZDUSDV2W,NYC,close,NZDUSDV2W CMPN Curncy
213,fx-implied-vol,bloomberg,daily,NZDUSDV3W,NYC,close,NZDUSDV3W CMPN Curncy
214,fx-implied-vol,bloomberg,daily,NZDUSDV1M,NYC,close,NZDUSDV1M CMPN Curncy
215,fx-implied-vol,bloomberg,daily,NZDUSDV2M,NYC,close,NZDUSDV2M CMPN Curncy
216,fx-implied-vol,bloomberg,daily,NZDUSDV3M,NYC,close,NZDUSDV3M CMPN Curncy
217,fx-implied-vol,bloomberg,daily,NZDUSDV4M,NYC,close,NZDUSDV4M CMPN Curncy
218,fx-implied-vol,bloomberg,daily,NZDUSDV6M,NYC,close,NZDUSDV6M CMPN Curncy
219,fx-implied-vol,bloomberg,daily,NZDUSDV9M,NYC,close,NZDUSDV9M CMPN Curncy
220,fx-implied-vol,bloomberg,daily,NZDUSDV1Y,NYC,close,NZDUSDV1Y CMPN Curncy
221,fx-implied-vol,bloomberg,daily,NZDUSDV2Y,NYC,close,NZDUSDV2Y CMPN Curncy
222,fx-implied-vol,bloomberg,daily,NZDUSDV3Y,NYC,close,NZDUSDV3Y CMPN Curncy
223,fx-implied-vol,bloomberg,daily,NZDUSDV5Y,NYC,close,NZDUSDV5Y CMPN Curncy
224,fx-implied-vol,bloomberg,daily,NZDUSD25RON,NYC,close,NZDUSD25RON CMPN Curncy
225,fx-implied-vol,bloomberg,daily,NZDUSD25R1W,NYC,close,NZDUSD25R1W CMPN Curncy
226,fx-implied-vol,bloomberg,daily,NZDUSD25R2W,NYC,close,NZDUSD25R2W CMPN Curncy
227,fx-implied-vol,bloomberg,daily,NZDUSD25R3W,NYC,close,NZDUSD25R3W CMPN Curncy
228,fx-implied-vol,bloomberg,daily,NZDUSD25R1M,NYC,close,NZDUSD25R1M CMPN Curncy
229,fx-implied-vol,bloomberg,daily,NZDUSD25R2M,NYC,close,NZDUSD25R2M CMPN Curncy
230,fx-implied-vol,bloomberg,daily,NZDUSD25R3M,NYC,close,NZDUSD25R3M CMPN Curncy
231,fx-implied-vol,bloomberg,daily,NZDUSD25R4M,NYC,close,NZDUSD25R4M CMPN Curncy
232,fx-implied-vol,bloomberg,daily,NZDUSD25R6M,NYC,close,NZDUSD25R6M CMPN Curncy
233,fx-implied-vol,bloomberg,daily,NZDUSD25R9M,NYC,close,NZDUSD25R9M CMPN Curncy
234,fx-implied-vol,bloomberg,daily,NZDUSD25R1Y,NYC,close,NZDUSD25R1Y CMPN Curncy
235,fx-implied-vol,bloomberg,daily,NZDUSD25R2Y,NYC,close,NZDUSD25R2Y CMPN Curncy
236,fx-implied-vol,bloomberg,daily,NZDUSD25R3Y,NYC,close,NZDUSD25R3Y CMPN Curncy
237,fx-implied-vol,bloomberg,daily,NZDUSD25R5Y,NYC,close,NZDUSD25R5Y CMPN Curncy
238,fx-implied-vol,bloomberg,daily,NZDUSD10RON,NYC,close,NZDUSD10RON CMPN Curncy
239,fx-implied-vol,bloomberg,daily,NZDUSD10R1W,NYC,close,NZDUSD10R1W CMPN Curncy
240,fx-implied-vol,bloomberg,daily,NZDUSD10R2W,NYC,close,NZDUSD10R2W CMPN Curncy
241,fx-implied-vol,bloomberg,daily,NZDUSD10R3W,NYC,close,NZDUSD10R3W CMPN Curncy
242,fx-implied-vol,bloomberg,daily,NZDUSD10R1M,NYC,close,NZDUSD10R1M CMPN Curncy
243,fx-implied-vol,bloomberg,daily,NZDUSD10R2M,NYC,close,NZDUSD10R2M CMPN Curncy
244,fx-implied-vol,bloomberg,daily,NZDUSD10R3M,NYC,close,NZDUSD10R3M CMPN Curncy
245,fx-implied-vol,bloomberg,daily,NZDUSD10R4M,NYC,close,NZDUSD10R4M CMPN Curncy
246,fx-implied-vol,bloomberg,daily,NZDUSD10R6M,NYC,close,NZDUSD10R6M CMPN Curncy
247,fx-implied-vol,bloomberg,daily,NZDUSD10R9M,NYC,close,NZDUSD10R9M CMPN Curncy
248,fx-implied-vol,bloomberg,daily,NZDUSD10R1Y,NYC,close,NZDUSD10R1Y CMPN Curncy
249,fx-implied-vol,bloomberg,daily,NZDUSD10R2Y,NYC,close,NZDUSD10R2Y CMPN Curncy
250,fx-implied-vol,bloomberg,daily,NZDUSD10R3Y,NYC,close,NZDUSD10R3Y CMPN Curncy
